,X,Time,ICS,ICC,ICE,PAGO,PEXP,BUS12,BUS5,DUR
137,137,5/21/2008,59.56444444,77.69,47.91888889,9.868063985,9.868063985,8.223386654,9.868063985,19.73612797
138,138,5/22/2008,53.13454545,70.80727273,41.78,6.728225444,13.45645089,1.345645089,9.419515622,20.18467633
139,139,5/23/2008,55.82454545,74.24818182,43.99,16.14774107,14.80209598,4.036935266,6.728225444,12.1108058
140,140,5/24/2008,85.87777778,96.61166667,78.98166667,16.44677331,16.44677331,13.15741865,17.26911197,20.55846663
141,141,5/27/2008,47.46214286,58.76642857,40.20142857,6.343755419,9.515633128,6.343755419,7.401047988,15.85938855
142,142,5/28/2008,51.34,72.28214286,37.88619048,9.868063985,10.22049484,3.524308566,8.105909702,17.62154283
143,143,5/29/2008,59.03058824,71.01088235,51.335,9.577826809,13.93138445,6.965692224,9.142471044,17.41423056
144,144,6/1/2008,61.20761905,79.49142857,49.46238095,11.98264912,14.09723426,6.343755419,8.458340558,18.32640454
145,145,6/2/2008,60.0244,70.12,53.5372,10.06542526,13.6179283,7.105006069,10.6575091,16.57834749
146,146,5/30/2008,46.40551724,51.58896552,43.07551724,5.104171026,11.73959336,5.104171026,8.166673642,14.29167887
147,147,5/31/2008,64.02857143,65.07428571,63.35380952,7.048617132,14.80209598,10.5729257,11.98264912,17.62154283
148,148,6/3/2008,61.20678571,62.82178571,60.17035714,10.5729257,15.85938855,8.458340558,11.10157198,13.21615712
149,149,6/4/2008,47.6926087,59.58826087,40.05043478,7.722832684,11.58424903,5.792124513,5.792124513,14.80209598
150,150,6/5/2008,66.35521739,76.04347826,60.1326087,10.29711024,13.5149572,6.435693903,15.44566537,18.66351232
151,151,6/6/2008,49.69666667,60.86888889,42.51666667,11.51274132,16.44677331,0,8.223386654,11.51274132
152,152,6/7/2008,53.23615385,68.95615385,43.14,12.52485044,12.52485044,2.277245535,10.24760491,13.66347321
153,153,6/8/2008,35.55,34.798,36.034,4.934031992,13.81528958,1.973612797,4.934031992,7.894451188
154,154,6/9/2008,58.09263158,73.70578947,48.06105263,14.80209598,16.36021134,4.674346098,7.011519147,13.24398061
155,155,6/10/2008,64.49722222,77.68833333,56.02222222,10.69040265,14.80209598,8.223386654,9.868063985,18.9137893
156,156,6/11/2008,52.50058824,68.78470588,42.04,13.06067292,12.18996139,5.224269168,6.965692224,13.06067292
157,157,6/12/2008,60.06846154,63.13230769,58.1,9.10898214,14.80209598,7.970359372,11.38622767,14.80209598
158,158,6/13/2008,70.089,85.258,60.344,13.32188638,14.80209598,11.84167678,8.881257586,19.24272477
159,159,6/14/2008,50.10625,72.9575,35.42625,9.251309985,12.95183398,3.700523994,3.700523994,18.50261997
160,160,6/15/2008,50.96,63.13307692,43.14,10.24760491,14.80209598,3.415868302,6.831736605,13.66347321
161,161,6/16/2008,66.965,71.38055556,64.12555556,13.15741865,18.9137893,7.401047988,11.51274132,13.97975731
162,162,6/18/2008,46.404,54.982,40.896,8.881257586,11.84167678,4.440628793,7.401047988,11.84167678
163,163,6/17/2008,78.97,62.55,89.516,11.84167678,23.68335356,5.920838391,23.68335356,11.84167678
164,164,6/19/2008,41.964,51.197,36.034,13.32188638,13.32188638,4.440628793,2.960419195,5.920838391
165,165,6/20/2008,51.95625,68.2275,41.50375,9.251309985,12.95183398,5.550785991,5.550785991,16.65235797
166,166,6/21/2008,47.54538462,68.95615385,33.79,14.80209598,14.80209598,2.277245535,2.277245535,11.38622767
167,167,6/22/2008,56.27555556,65.07444444,50.62,6.578709323,14.80209598,4.934031992,9.868063985,18.09145064
